NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CD8B.MOD	CD8B.MOD	Details ...	89	0.6011808	1.8174499	0.0037950664	0.34932572	0.126	4227	tags=64%, list=26%, signal=86%	
MTA1.MOD	MTA1.MOD	Details ...	97	0.5650792	1.7943994	0.013618677	0.23038767	0.16	4411	tags=53%, list=27%, signal=71%	
TCF7.MOD	TCF7.MOD	Details ...	90	0.7548471	1.7898883	0.003816794	0.16128008	0.167	3025	tags=81%, list=18%, signal=99%	
CD28.MOD	CD28.MOD	Details ...	88	0.7191259	1.7753977	0.013084112	0.14431065	0.193	2241	tags=68%, list=14%, signal=79%	
GZMK.MOD	GZMK.MOD	Details ...	85	0.6085551	1.740938	0.018761726	0.16350704	0.247	4089	tags=66%, list=25%, signal=87%	
CD8A.MOD	CD8A.MOD	Details ...	86	0.5718659	1.7297091	0.009615385	0.15147719	0.267	4248	tags=64%, list=26%, signal=86%	
CHD3.MOD	CHD3.MOD	Details ...	87	0.6912272	1.724979	0.02268431	0.13619804	0.275	3495	tags=70%, list=21%, signal=89%	
RORC.MOD	RORC.MOD	Details ...	90	0.73180175	1.7214694	0.0038240917	0.12370797	0.283	3284	tags=79%, list=20%, signal=98%	
PHF1.MOD	PHF1.MOD	Details ...	89	0.58768475	1.7164083	0.028571429	0.11660618	0.298	4504	tags=56%, list=27%, signal=77%	
GATA3.MOD	GATA3.MOD	Details ...	89	0.6228429	1.7122467	0.019646365	0.109917514	0.309	3495	tags=60%, list=21%, signal=75%	
PATZ1.MOD	PATZ1.MOD	Details ...	92	0.61455613	1.6915107	0.01734104	0.11951128	0.356	4411	tags=66%, list=27%, signal=90%	
FOXP3.MOD	FOXP3.MOD	Details ...	87	0.6264091	1.6844139	0.041044775	0.1168882	0.378	3161	tags=61%, list=19%, signal=75%	
CD5.MOD	CD5.MOD	Details ...	94	0.7365706	1.6665992	0.015564202	0.12594947	0.44	3161	tags=82%, list=19%, signal=101%	
IKZF1.MOD	IKZF1.MOD	Details ...	93	0.6826607	1.6535672	0.036764707	0.13016927	0.474	3161	tags=63%, list=19%, signal=78%	
CD19.MOD	CD19.MOD	Details ...	92	0.7283964	1.6516755	0.042671613	0.1228065	0.477	2687	tags=72%, list=16%, signal=85%	
CBX5.MOD	CBX5.MOD	Details ...	93	0.6041516	1.6494575	0.04485981	0.11620851	0.481	4863	tags=68%, list=30%, signal=96%	
CTLA4.MOD	CTLA4.MOD	Details ...	89	0.6112143	1.646892	0.041353382	0.112085134	0.489	3161	tags=57%, list=19%, signal=71%	
CD3E.MOD	CD3E.MOD	Details ...	94	0.72195375	1.6371955	0.019417476	0.114865825	0.514	2374	tags=70%, list=14%, signal=82%	
IL2RA.MOD	IL2RA.MOD	Details ...	90	0.5960448	1.6273512	0.04914934	0.11741824	0.536	3499	tags=63%, list=21%, signal=80%	
MAF.MOD	MAF.MOD	Details ...	94	0.60945827	1.6245378	0.052532833	0.113681324	0.544	3161	tags=61%, list=19%, signal=75%	
RBL2.MOD	RBL2.MOD		87	0.60560507	1.6143798	0.08122744	0.11720353	0.574	4465	tags=67%, list=27%, signal=91%	
TIGIT.MOD	TIGIT.MOD		90	0.5959358	1.610887	0.043052837	0.11498834	0.581	3185	tags=58%, list=19%, signal=71%	
CD2.MOD	CD2.MOD		95	0.70493114	1.5927405	0.03269231	0.12749486	0.635	3373	tags=80%, list=20%, signal=100%	
MLL.MOD	MLL.MOD		94	0.60489655	1.5272754	0.112522684	0.19434212	0.776	4609	tags=63%, list=28%, signal=87%	
SMAD7.MOD	SMAD7.MOD		90	0.48477516	1.5093724	0.10172745	0.20988853	0.798	3485	tags=44%, list=21%, signal=56%	
EED.MOD	EED.MOD		96	0.60634524	1.4952158	0.099047616	0.2219925	0.821	4733	tags=67%, list=29%, signal=93%	
SMAD3.MOD	SMAD3.MOD		94	0.5563971	1.4598184	0.11401869	0.26216552	0.879	5295	tags=68%, list=32%, signal=100%	
STAT4.MOD	STAT4.MOD		89	0.5165217	1.4535758	0.1310212	0.26186657	0.886	4407	tags=58%, list=27%, signal=79%	
NCOA3.MOD	NCOA3.MOD		90	0.6120703	1.4388901	0.15719697	0.2718569	0.905	3627	tags=56%, list=22%, signal=71%	
NFATC3.MOD	NFATC3.MOD		90	0.52550906	1.4203788	0.13740458	0.28681743	0.929	4649	tags=57%, list=28%, signal=79%	
RBBP7.MOD	RBBP7.MOD		95	0.47181138	1.4038571	0.14801444	0.30035296	0.936	4774	tags=48%, list=29%, signal=68%	
IRF8.MOD	IRF8.MOD		95	0.50990534	1.3085644	0.26443204	0.4246784	0.986	5175	tags=63%, list=31%, signal=92%	
GZMM.MOD	GZMM.MOD		88	0.4959635	1.2993059	0.24254473	0.42591843	0.988	5234	tags=56%, list=32%, signal=81%	
FUBP1.MOD	FUBP1.MOD		88	0.4596385	1.2950699	0.25	0.41918895	0.988	4731	tags=44%, list=29%, signal=62%	
WHSC1L1.MOD	WHSC1L1.MOD		92	0.42730382	1.1566992	0.38649157	0.5999784	1.0	4387	tags=40%, list=27%, signal=55%	
TFAM.MOD	TFAM.MOD		90	0.46418795	1.1506424	0.3868472	0.5916113	1.0	5343	tags=54%, list=32%, signal=80%	
TAF9.MOD	TAF9.MOD		97	0.46668515	1.0843343	0.4576923	0.66052794	1.0	5848	tags=61%, list=36%, signal=94%	
SMARCC1.MOD	SMARCC1.MOD		86	0.4079831	1.0778195	0.42777777	0.65071046	1.0	4433	tags=38%, list=27%, signal=52%	
COPS2.MOD	COPS2.MOD		91	0.39141145	1.0313733	0.51619047	0.6892435	1.0	4936	tags=48%, list=30%, signal=69%	
