NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
STAT2.MOD	STAT2.MOD		93	-0.4099453	-0.86785644	0.67911714	0.7937131	1.0	5197	tags=58%, list=32%, signal=84%	
GZMM.MOD	GZMM.MOD		88	-0.31387764	-0.854104	0.58969074	0.78930855	1.0	3726	tags=36%, list=23%, signal=47%	
MAF.MOD	MAF.MOD		94	-0.3097882	-0.819973	0.63125	0.8054501	1.0	3031	tags=33%, list=18%, signal=40%	
CBFB.MOD	CBFB.MOD		98	-0.34243497	-0.8032087	0.67427385	0.8026484	1.0	5794	tags=48%, list=35%, signal=74%	
STAT1.MOD	STAT1.MOD		95	-0.38241154	-0.79405236	0.718638	0.79370505	1.0	5158	tags=55%, list=31%, signal=79%	
TOX.MOD	TOX.MOD		89	-0.27266517	-0.73907536	0.6944444	0.8239319	1.0	4816	tags=42%, list=29%, signal=58%	
IRF7.MOD	IRF7.MOD		94	-0.34877527	-0.72935003	0.7573657	0.8163553	1.0	5197	tags=53%, list=32%, signal=77%	
E2F1.MOD	E2F1.MOD		95	-0.24391058	-0.66979724	0.7663366	0.8484317	1.0	4086	tags=33%, list=25%, signal=43%	
GZMK.MOD	GZMK.MOD		85	-0.19514306	-0.54476905	0.9327902	0.92618763	1.0	4497	tags=39%, list=27%, signal=53%	
AFF1.MOD	AFF1.MOD		91	-0.23937052	-0.50567216	0.8715596	0.93603563	1.0	5321	tags=44%, list=32%, signal=65%	
TFAM.MOD	TFAM.MOD		90	-0.19314836	-0.4935724	0.9122056	0.92621815	1.0	2934	tags=20%, list=18%, signal=24%	
SKIL.MOD	SKIL.MOD		50	-0.15308696	-0.39972925	0.98720294	0.9643606	1.0	4224	tags=30%, list=26%, signal=40%	
TBX21.MOD	TBX21.MOD		90	-0.14418668	-0.36109063	0.9790875	0.96386313	1.0	4754	tags=31%, list=29%, signal=44%	
