NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MTA1.MOD	MTA1.MOD	Details ...	97	-0.53928393	-1.8093827	0.03177966	0.5064736	0.144	2426	tags=36%, list=15%, signal=42%	
E2F1.MOD	E2F1.MOD	Details ...	95	-0.67348844	-1.7039855	0.0020283975	0.6082842	0.29	3800	tags=76%, list=23%, signal=98%	
STAT4.MOD	STAT4.MOD	Details ...	89	-0.5190565	-1.5706869	0.0805501	1.0	0.645	2259	tags=36%, list=14%, signal=41%	
PATZ1.MOD	PATZ1.MOD	Details ...	92	-0.5333322	-1.5654536	0.07723577	0.8866645	0.658	5652	tags=63%, list=34%, signal=95%	
IL27RA.MOD	IL27RA.MOD	Details ...	96	-0.651452	-1.4253778	0.13147411	1.0	0.915	3574	tags=67%, list=22%, signal=85%	
IRF8.MOD	IRF8.MOD	Details ...	95	-0.54241896	-1.4251373	0.16771488	1.0	0.916	4539	tags=56%, list=28%, signal=77%	
CD19.MOD	CD19.MOD	Details ...	92	-0.5697893	-1.3898516	0.2173913	1.0	0.945	4102	tags=62%, list=25%, signal=82%	
TAF9.MOD	TAF9.MOD	Details ...	97	-0.57105005	-1.3479475	0.24158415	1.0	0.963	5087	tags=62%, list=31%, signal=89%	
SMAD3.MOD	SMAD3.MOD	Details ...	94	-0.47030598	-1.3464143	0.2165992	1.0	0.963	4820	tags=52%, list=29%, signal=73%	
CD3E.MOD	CD3E.MOD	Details ...	94	-0.5683378	-1.338175	0.23495145	1.0	0.971	4130	tags=57%, list=25%, signal=76%	
RBBP7.MOD	RBBP7.MOD	Details ...	95	-0.4512447	-1.3322409	0.2037037	1.0	0.974	3727	tags=41%, list=23%, signal=53%	
GZMM.MOD	GZMM.MOD	Details ...	88	-0.4914859	-1.3225362	0.22440945	1.0	0.976	4171	tags=48%, list=25%, signal=64%	
CD2.MOD	CD2.MOD	Details ...	95	-0.54546183	-1.2738079	0.28458497	1.0	0.987	5196	tags=69%, list=32%, signal=101%	
CD5.MOD	CD5.MOD	Details ...	94	-0.52292615	-1.2404846	0.30635837	1.0	0.995	5196	tags=66%, list=32%, signal=96%	
CHD3.MOD	CHD3.MOD	Details ...	87	-0.47601536	-1.2264569	0.27579364	1.0	0.996	2868	tags=34%, list=17%, signal=42%	
TCF7.MOD	TCF7.MOD	Details ...	90	-0.4945546	-1.2175609	0.33398822	1.0	0.997	2966	tags=38%, list=18%, signal=46%	
FASLG.MOD	FASLG.MOD	Details ...	89	-0.46030045	-1.2103825	0.33140656	1.0	0.997	5306	tags=55%, list=32%, signal=81%	
CBX5.MOD	CBX5.MOD	Details ...	93	-0.4299704	-1.1975838	0.3243243	1.0	0.997	3964	tags=35%, list=24%, signal=46%	
TIGIT.MOD	TIGIT.MOD	Details ...	90	-0.42377484	-1.1939809	0.30708662	1.0	0.997	4143	tags=42%, list=25%, signal=56%	
CD244.MOD	CD244.MOD	Details ...	92	-0.40934512	-1.1832345	0.3212121	1.0	0.997	5306	tags=55%, list=32%, signal=81%	
GZMA.MOD	GZMA.MOD		91	-0.4286946	-1.1471032	0.37301588	1.0	0.999	5306	tags=53%, list=32%, signal=77%	
