NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SKIL.MOD	SKIL.MOD	Details ...	50	0.59847003	1.6612786	0.027722772	1.0	0.486	2425	tags=46%, list=15%, signal=54%	
BCLAF1.MOD	BCLAF1.MOD	Details ...	85	0.56665003	1.6201211	0.025104603	1.0	0.571	2887	tags=47%, list=18%, signal=57%	
YY1.MOD	YY1.MOD	Details ...	91	0.57373685	1.6149123	0.07283465	1.0	0.581	4990	tags=64%, list=30%, signal=91%	
WHSC1L1.MOD	WHSC1L1.MOD	Details ...	92	0.63005227	1.5662875	0.05905512	1.0	0.698	3176	tags=62%, list=19%, signal=76%	
TAF2.MOD	TAF2.MOD	Details ...	92	0.73936504	1.497881	0.05186722	1.0	0.805	2469	tags=76%, list=15%, signal=89%	
CCNT2.MOD	CCNT2.MOD	Details ...	89	0.68855655	1.4820061	0.08282828	1.0	0.827	3176	tags=73%, list=19%, signal=90%	
SMARCC1.MOD	SMARCC1.MOD	Details ...	86	0.6496159	1.4788274	0.09552845	1.0	0.831	4289	tags=77%, list=26%, signal=103%	
MEF2A.MOD	MEF2A.MOD	Details ...	80	0.6493764	1.4529763	0.13188976	1.0	0.867	5275	tags=84%, list=32%, signal=123%	
CBFB.MOD	CBFB.MOD	Details ...	98	0.6631682	1.4415342	0.12525253	1.0	0.88	2918	tags=66%, list=18%, signal=80%	
HBP1.MOD	HBP1.MOD	Details ...	97	0.67265385	1.4329957	0.13819578	1.0	0.883	4434	tags=78%, list=27%, signal=107%	
IKZF1.MOD	IKZF1.MOD	Details ...	93	0.5878406	1.4326019	0.16862746	1.0	0.883	3684	tags=61%, list=22%, signal=79%	
RUNX1.MOD	RUNX1.MOD	Details ...	96	0.49217424	1.4271449	0.16302186	0.9687915	0.892	4591	tags=50%, list=28%, signal=69%	
MORF4L2.MOD	MORF4L2.MOD	Details ...	90	0.41002086	1.4155437	0.10973085	0.9363772	0.901	3180	tags=33%, list=19%, signal=41%	
CBX3.MOD	CBX3.MOD	Details ...	94	0.54403883	1.3568641	0.2454361	1.0	0.945	5351	tags=62%, list=33%, signal=91%	
RREB1.MOD	RREB1.MOD	Details ...	94	0.52564126	1.3554893	0.22134387	1.0	0.946	3670	tags=52%, list=22%, signal=67%	
FOXJ2.MOD	FOXJ2.MOD	Details ...	93	0.5992546	1.3446978	0.2247619	0.99482685	0.95	5128	tags=76%, list=31%, signal=110%	
TCF12.MOD	TCF12.MOD	Details ...	97	0.57341594	1.3416603	0.22177419	0.945014	0.95	2918	tags=55%, list=18%, signal=66%	
RBL2.MOD	RBL2.MOD	Details ...	87	0.5150162	1.334858	0.2334004	0.9130249	0.952	3809	tags=59%, list=23%, signal=76%	
HAT1.MOD	HAT1.MOD	Details ...	82	0.540715	1.3150598	0.26706827	0.92220217	0.966	5298	tags=61%, list=32%, signal=89%	
MLL.MOD	MLL.MOD	Details ...	94	0.58868206	1.3075943	0.26434427	0.89793026	0.967	4248	tags=69%, list=26%, signal=93%	
HIF1A.MOD	HIF1A.MOD		82	0.5585682	1.2994976	0.25050506	0.87506986	0.967	4499	tags=61%, list=27%, signal=83%	
BTAF1.MOD	BTAF1.MOD		87	0.5658854	1.2837492	0.29324895	0.87173873	0.968	3321	tags=54%, list=20%, signal=67%	
BAZ1A.MOD	BAZ1A.MOD		95	0.6456736	1.253104	0.3161157	0.9087365	0.98	4551	tags=76%, list=28%, signal=104%	
MAF.MOD	MAF.MOD		94	0.46751115	1.2443014	0.2813765	0.89286035	0.983	3722	tags=48%, list=23%, signal=62%	
FLI1.MOD	FLI1.MOD		98	0.60480756	1.2431953	0.35258964	0.85932976	0.983	5485	tags=80%, list=33%, signal=119%	
COPS2.MOD	COPS2.MOD		91	0.4845681	1.2252053	0.34349594	0.86249644	0.985	4138	tags=53%, list=25%, signal=70%	
CTLA4.MOD	CTLA4.MOD		89	0.43504024	1.211027	0.29531568	0.85803515	0.988	3905	tags=45%, list=24%, signal=59%	
FUBP1.MOD	FUBP1.MOD		88	0.5079553	1.2074096	0.36325678	0.8356082	0.989	4626	tags=61%, list=28%, signal=85%	
NAB1.MOD	NAB1.MOD		94	0.590021	1.2035751	0.36842105	0.8140101	0.99	5330	tags=71%, list=32%, signal=105%	
ETS2.MOD	ETS2.MOD		91	0.5179017	1.1956469	0.36767676	0.80189115	0.99	5965	tags=64%, list=36%, signal=99%	
JUNB.MOD	JUNB.MOD		86	0.5664249	1.193194	0.38339922	0.7803029	0.991	6054	tags=74%, list=37%, signal=117%	
STAT3.MOD	STAT3.MOD		96	0.604809	1.1791584	0.39880952	0.78016853	0.991	5157	tags=75%, list=31%, signal=109%	
FOXO3.MOD	FOXO3.MOD		95	0.5685138	1.1605103	0.41117764	0.7862095	0.995	5168	tags=67%, list=31%, signal=98%	
FOS.MOD	FOS.MOD		79	0.46003774	1.1398877	0.38429752	0.7965072	0.999	5087	tags=52%, list=31%, signal=75%	
IL2RA.MOD	IL2RA.MOD		90	0.39634407	1.1158051	0.37945494	0.8094224	0.999	3627	tags=40%, list=22%, signal=51%	
SP1.MOD	SP1.MOD		98	0.56684375	1.1060758	0.46201232	0.8011643	0.999	6376	tags=80%, list=39%, signal=129%	
STAT5B.MOD	STAT5B.MOD		86	0.5774224	1.0930185	0.4587738	0.7979867	0.999	5651	tags=77%, list=34%, signal=116%	
NFATC3.MOD	NFATC3.MOD		90	0.4218117	1.0912374	0.42270058	0.7794568	0.999	1922	tags=31%, list=12%, signal=35%	
CBX1.MOD	CBX1.MOD		91	0.49447033	1.0468087	0.4939759	0.82190603	1.0	7114	tags=73%, list=43%, signal=127%	
PBX2.MOD	PBX2.MOD		96	0.52016544	1.0407811	0.50898206	0.8091307	1.0	6225	tags=70%, list=38%, signal=112%	
THBD.MOD	THBD.MOD		92	0.5097999	1.0377871	0.5137795	0.7932146	1.0	5128	tags=53%, list=31%, signal=77%	
ETF1.MOD	ETF1.MOD		86	0.36678624	1.0144495	0.4635193	0.8033691	1.0	4901	tags=44%, list=30%, signal=63%	
NFKB1.MOD	NFKB1.MOD		95	0.3607684	0.97728205	0.51901567	0.830511	1.0	5377	tags=44%, list=33%, signal=65%	
EED.MOD	EED.MOD		96	0.381949	0.9745572	0.5204918	0.81445646	1.0	4303	tags=49%, list=26%, signal=66%	
HDAC2.MOD	HDAC2.MOD		95	0.40932903	0.95830625	0.5520833	0.81522727	1.0	3592	tags=33%, list=22%, signal=41%	
AFF1.MOD	AFF1.MOD		91	0.44526598	0.9525177	0.56581986	0.8041306	1.0	964	tags=22%, list=6%, signal=23%	
GATA3.MOD	GATA3.MOD		89	0.33498052	0.9258082	0.5475728	0.8173066	1.0	2876	tags=34%, list=17%, signal=41%	
FUS.MOD	FUS.MOD		78	0.37342635	0.9217827	0.5623722	0.8044447	1.0	4586	tags=44%, list=28%, signal=60%	
FOXP3.MOD	FOXP3.MOD		87	0.33176488	0.91953266	0.5402062	0.79008996	1.0	3627	tags=33%, list=22%, signal=43%	
RBBP7.MOD	RBBP7.MOD		95	0.31523183	0.90928864	0.5557769	0.7851716	1.0	3579	tags=32%, list=22%, signal=40%	
ZBTB7B.MOD	ZBTB7B.MOD		98	0.4063348	0.8514645	0.6334012	0.8271238	1.0	6155	tags=47%, list=37%, signal=75%	
STAT6.MOD	STAT6.MOD		92	0.40815863	0.83828986	0.6463654	0.8236144	1.0	7652	tags=68%, list=46%, signal=127%	
PNN.MOD	PNN.MOD		84	0.34960446	0.81863004	0.66875	0.82899755	1.0	3374	tags=36%, list=20%, signal=45%	
TFAM.MOD	TFAM.MOD		90	0.31113997	0.81510496	0.6591837	0.81710327	1.0	5986	tags=50%, list=36%, signal=78%	
SMAD7.MOD	SMAD7.MOD		90	0.27072325	0.7782149	0.6487026	0.834919	1.0	3178	tags=27%, list=19%, signal=33%	
SMAD3.MOD	SMAD3.MOD		94	0.29938143	0.77753514	0.66386557	0.82091105	1.0	5025	tags=45%, list=31%, signal=64%	
TIGIT.MOD	TIGIT.MOD		90	0.27575338	0.7650765	0.6984436	0.8179236	1.0	2855	tags=26%, list=17%, signal=31%	
PHF1.MOD	PHF1.MOD		89	0.27057442	0.7450074	0.70238096	0.8204932	1.0	3425	tags=30%, list=21%, signal=38%	
HDAC4.MOD	HDAC4.MOD		96	0.32976648	0.71775025	0.6993737	0.83075124	1.0	5298	tags=38%, list=32%, signal=55%	
ELF4.MOD	ELF4.MOD		94	0.3145595	0.6954748	0.7026477	0.83438843	1.0	6376	tags=41%, list=39%, signal=67%	
PKNOX1.MOD	PKNOX1.MOD		74	0.3343351	0.68353224	0.7357294	0.8310132	1.0	6922	tags=59%, list=42%, signal=102%	
CBX5.MOD	CBX5.MOD		93	0.25361642	0.6698268	0.7635983	0.8300246	1.0	4025	tags=39%, list=24%, signal=51%	
CD28.MOD	CD28.MOD		88	0.26239637	0.65859306	0.7741273	0.8261677	1.0	3256	tags=27%, list=20%, signal=34%	
NCOA3.MOD	NCOA3.MOD		90	0.24017446	0.58388674	0.802521	0.8723033	1.0	5443	tags=41%, list=33%, signal=61%	
GZMK.MOD	GZMK.MOD		85	0.19752799	0.5570274	0.90515465	0.8798494	1.0	5085	tags=31%, list=31%, signal=44%	
CXCR1.MOD	CXCR1.MOD		95	0.23631902	0.4512343	0.88125	0.945778	1.0	12215	tags=99%, list=74%, signal=381%	
TAF9.MOD	TAF9.MOD		97	0.13822004	0.33591363	0.9556962	0.9946152	1.0	4103	tags=22%, list=25%, signal=29%	
RORC.MOD	RORC.MOD		90	0.117268346	0.2917534	1.0	0.99694586	1.0	5358	tags=26%, list=33%, signal=38%	
CD5.MOD	CD5.MOD		94	0.10251498	0.2563391	0.9979839	0.9917382	1.0	5729	tags=29%, list=35%, signal=44%	
