NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
ETF1.MOD	ETF1.MOD	Details ...	86	-0.67526805	-1.8098583	0.013645224	0.40457228	0.14	3682	tags=70%, list=22%, signal=89%	
STAT2.MOD	STAT2.MOD	Details ...	93	-0.84920925	-1.7035781	0.028629856	0.5736355	0.315	1368	tags=85%, list=8%, signal=92%	
IL15RA.MOD	IL15RA.MOD	Details ...	94	-0.7592036	-1.7007773	0.018108651	0.39411128	0.322	3082	tags=78%, list=19%, signal=95%	
STAT1.MOD	STAT1.MOD	Details ...	95	-0.8255954	-1.6934	0.018404908	0.31805626	0.345	1693	tags=84%, list=10%, signal=93%	
ITGB3.MOD	ITGB3.MOD	Details ...	89	-0.78777874	-1.6910843	0.01778656	0.26106983	0.351	2371	tags=83%, list=14%, signal=97%	
RUNX1.MOD	RUNX1.MOD	Details ...	96	-0.5408854	-1.6864964	0.041015625	0.22748049	0.367	2826	tags=41%, list=17%, signal=49%	
IRF7.MOD	IRF7.MOD	Details ...	94	-0.84255284	-1.654344	0.033402923	0.2569714	0.449	1455	tags=85%, list=9%, signal=93%	
CD4.MOD	CD4.MOD	Details ...	95	-0.6303552	-1.6233828	0.064705886	0.30110186	0.544	3041	tags=54%, list=18%, signal=65%	
MEF2A.MOD	MEF2A.MOD	Details ...	80	-0.6744311	-1.594522	0.073076926	0.3363085	0.615	3861	tags=69%, list=23%, signal=89%	
CD33.MOD	CD33.MOD	Details ...	95	-0.72113156	-1.5797857	0.07633588	0.33746853	0.652	3182	tags=75%, list=19%, signal=92%	
ETS2.MOD	ETS2.MOD	Details ...	91	-0.6753655	-1.5452523	0.06007752	0.38876903	0.729	4170	tags=78%, list=25%, signal=104%	
HAT1.MOD	HAT1.MOD	Details ...	82	-0.5965729	-1.5134709	0.11153846	0.43823248	0.793	3172	tags=50%, list=19%, signal=62%	
AFF1.MOD	AFF1.MOD	Details ...	91	-0.68992406	-1.5116131	0.070393376	0.4090613	0.797	3567	tags=69%, list=22%, signal=88%	
CD14.MOD	CD14.MOD	Details ...	95	-0.6800247	-1.5080891	0.0859375	0.38829255	0.802	3218	tags=62%, list=20%, signal=77%	
HIF1A.MOD	HIF1A.MOD	Details ...	82	-0.64331555	-1.5038769	0.086872585	0.37241244	0.807	4421	tags=74%, list=27%, signal=101%	
CD244.MOD	CD244.MOD	Details ...	92	-0.59622115	-1.4663196	0.16734694	0.436583	0.86	3040	tags=51%, list=18%, signal=62%	
RREB1.MOD	RREB1.MOD	Details ...	94	-0.524046	-1.4523351	0.15447155	0.4441564	0.883	3593	tags=45%, list=22%, signal=57%	
ELF4.MOD	ELF4.MOD	Details ...	94	-0.6489604	-1.4392436	0.16171004	0.44749883	0.896	4938	tags=82%, list=30%, signal=116%	
SKIL.MOD	SKIL.MOD	Details ...	50	-0.51457006	-1.3809756	0.164	0.5476233	0.945	4402	tags=56%, list=27%, signal=76%	
HDAC4.MOD	HDAC4.MOD	Details ...	96	-0.6246609	-1.3772726	0.20610687	0.52776176	0.951	3918	tags=68%, list=24%, signal=88%	
ZBTB7B.MOD	ZBTB7B.MOD		98	-0.6409216	-1.3533957	0.22201139	0.55474716	0.96	4695	tags=81%, list=29%, signal=112%	
MPO.MOD	MPO.MOD		83	-0.56335914	-1.3339506	0.23586744	0.5705334	0.97	4142	tags=58%, list=25%, signal=77%	
FLI1.MOD	FLI1.MOD		98	-0.6125015	-1.3008003	0.29056603	0.61124253	0.982	5750	tags=83%, list=35%, signal=126%	
FOS.MOD	FOS.MOD		79	-0.51011693	-1.2780879	0.30384615	0.6284848	0.988	5604	tags=65%, list=34%, signal=97%	
KLF1.MOD	KLF1.MOD		93	-0.65823203	-1.2766639	0.27459016	0.60653937	0.988	4149	tags=75%, list=25%, signal=100%	
SP1.MOD	SP1.MOD		98	-0.64509773	-1.2559555	0.3056093	0.6204632	0.989	5233	tags=86%, list=32%, signal=125%	
BAZ1A.MOD	BAZ1A.MOD		95	-0.6309687	-1.2532657	0.3243243	0.6028385	0.989	4591	tags=77%, list=28%, signal=106%	
NAB1.MOD	NAB1.MOD		94	-0.5987891	-1.1975064	0.3678161	0.67171	0.994	5784	tags=80%, list=35%, signal=122%	
STAT3.MOD	STAT3.MOD		96	-0.60795796	-1.1703651	0.39423078	0.6924837	0.995	6050	tags=89%, list=37%, signal=139%	
FOXO3.MOD	FOXO3.MOD		95	-0.58015	-1.1569581	0.41431263	0.6901535	0.995	5784	tags=78%, list=35%, signal=119%	
NCAM1.MOD	NCAM1.MOD		85	-0.49873072	-1.132439	0.38541666	0.7027733	0.997	4295	tags=53%, list=26%, signal=71%	
PBX2.MOD	PBX2.MOD		96	-0.5667391	-1.1017098	0.47884616	0.72510386	0.999	5983	tags=75%, list=36%, signal=117%	
STAT6.MOD	STAT6.MOD		92	-0.5329834	-1.0933393	0.4793233	0.714901	0.999	5110	tags=68%, list=31%, signal=99%	
THBD.MOD	THBD.MOD		92	-0.54835993	-1.0758916	0.5019231	0.71650237	1.0	6124	tags=75%, list=37%, signal=119%	
PRF1.MOD	PRF1.MOD		92	-0.465004	-1.0733439	0.436853	0.69910777	1.0	4295	tags=48%, list=26%, signal=64%	
STAT5B.MOD	STAT5B.MOD		86	-0.5492562	-1.0708297	0.516	0.68210304	1.0	5397	tags=72%, list=33%, signal=107%	
FOXJ2.MOD	FOXJ2.MOD		93	-0.4687455	-1.0624796	0.49707603	0.6734325	1.0	6042	tags=71%, list=37%, signal=111%	
CBX3.MOD	CBX3.MOD		94	-0.41889358	-1.0604002	0.47826087	0.6580177	1.0	5117	tags=41%, list=31%, signal=60%	
GZMB.MOD	GZMB.MOD		91	-0.45762643	-1.0536331	0.45302713	0.64838195	1.0	4295	tags=47%, list=26%, signal=64%	
KIR2DL1.MOD	KIR2DL1.MOD		81	-0.45915473	-1.0498405	0.44117647	0.63676256	1.0	4295	tags=47%, list=26%, signal=63%	
CXCR1.MOD	CXCR1.MOD		95	-0.5540961	-1.0475451	0.528827	0.62406695	1.0	5885	tags=75%, list=36%, signal=116%	
JUNB.MOD	JUNB.MOD		86	-0.5117265	-1.0453087	0.527451	0.6116624	1.0	6728	tags=76%, list=41%, signal=127%	
CD160.MOD	CD160.MOD		92	-0.42798	-1.0193294	0.46624473	0.6239579	1.0	4295	tags=46%, list=26%, signal=61%	
IL2RB.MOD	IL2RB.MOD		93	-0.42569643	-0.9897416	0.4968017	0.63801384	1.0	4295	tags=47%, list=26%, signal=64%	
