NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
YY1.MOD	YY1.MOD	Details ...	91	0.57502013	1.8336987	0.0042643924	0.3489595	0.149	2993	tags=45%, list=18%, signal=55%	
HBP1.MOD	HBP1.MOD	Details ...	97	0.79041827	1.7495536	0.0	0.42110646	0.289	2696	tags=87%, list=16%, signal=103%	
HAT1.MOD	HAT1.MOD	Details ...	82	0.64945793	1.7371813	0.03470716	0.3135554	0.316	3880	tags=67%, list=24%, signal=87%	
NFKB1.MOD	NFKB1.MOD	Details ...	95	0.50188684	1.6548564	0.056179777	0.46769837	0.501	3451	tags=40%, list=21%, signal=50%	
NAB1.MOD	NAB1.MOD	Details ...	94	0.8137755	1.6500021	0.008639309	0.3887442	0.519	2171	tags=88%, list=13%, signal=101%	
MEF2A.MOD	MEF2A.MOD	Details ...	80	0.6801588	1.6185939	0.046908315	0.40902326	0.609	4642	tags=85%, list=28%, signal=118%	
FOS.MOD	FOS.MOD	Details ...	79	0.6709188	1.6174699	0.022271715	0.3539959	0.614	3234	tags=68%, list=20%, signal=85%	
FOXJ2.MOD	FOXJ2.MOD	Details ...	93	0.7109516	1.6164547	0.006329114	0.3116937	0.616	2921	tags=69%, list=18%, signal=83%	
KLF1.MOD	KLF1.MOD	Details ...	93	0.766167	1.6016957	0.046838406	0.30532217	0.648	2653	tags=82%, list=16%, signal=97%	
FOXO3.MOD	FOXO3.MOD	Details ...	95	0.80365425	1.5921013	0.015021459	0.29517204	0.671	2175	tags=84%, list=13%, signal=96%	
ITGB3.MOD	ITGB3.MOD	Details ...	89	0.7858503	1.5902435	0.036697246	0.27216658	0.676	2750	tags=88%, list=17%, signal=105%	
FLI1.MOD	FLI1.MOD	Details ...	98	0.7488236	1.5843879	0.025531914	0.26034138	0.696	3218	tags=84%, list=20%, signal=103%	
BAZ1A.MOD	BAZ1A.MOD	Details ...	95	0.78216183	1.5828878	0.029661017	0.24275583	0.703	1800	tags=80%, list=11%, signal=89%	
ETS2.MOD	ETS2.MOD	Details ...	91	0.6493629	1.5720016	0.086134456	0.24182634	0.727	4099	tags=70%, list=25%, signal=93%	
JUNB.MOD	JUNB.MOD	Details ...	86	0.76279885	1.5714841	0.017204301	0.22627401	0.727	2971	tags=84%, list=18%, signal=102%	
CBX1.MOD	CBX1.MOD	Details ...	91	0.7444029	1.5657806	0.021978023	0.21989018	0.744	2477	tags=76%, list=15%, signal=89%	
STAT3.MOD	STAT3.MOD	Details ...	96	0.80211604	1.5599202	0.025695931	0.21549574	0.757	2611	tags=90%, list=16%, signal=106%	
STAT5B.MOD	STAT5B.MOD	Details ...	86	0.78770953	1.5598264	0.028138528	0.20366114	0.757	2346	tags=86%, list=14%, signal=100%	
HIF1A.MOD	HIF1A.MOD	Details ...	82	0.65815175	1.5476754	0.061181433	0.20740099	0.779	4711	tags=83%, list=29%, signal=116%	
PBX2.MOD	PBX2.MOD	Details ...	96	0.7872249	1.5133007	0.040339705	0.24285093	0.827	3103	tags=93%, list=19%, signal=114%	
THBD.MOD	THBD.MOD		92	0.78294605	1.5058336	0.019693654	0.24139313	0.839	2302	tags=82%, list=14%, signal=94%	
ZBTB7B.MOD	ZBTB7B.MOD		98	0.7055328	1.4610785	0.08742005	0.2951171	0.89	3019	tags=74%, list=18%, signal=91%	
SP1.MOD	SP1.MOD		98	0.74454427	1.4407939	0.06507592	0.3125545	0.913	2377	tags=79%, list=14%, signal=91%	
ELF4.MOD	ELF4.MOD		94	0.6638808	1.4003098	0.1431624	0.356475	0.95	4334	tags=74%, list=26%, signal=100%	
HDAC4.MOD	HDAC4.MOD		96	0.6274275	1.3870469	0.18629551	0.3596596	0.958	4651	tags=74%, list=28%, signal=102%	
WHSC1L1.MOD	WHSC1L1.MOD		92	0.5238783	1.3851243	0.18383838	0.34865257	0.958	4608	tags=58%, list=28%, signal=80%	
STAT6.MOD	STAT6.MOD		92	0.69482356	1.3794031	0.1388889	0.34299642	0.96	3901	tags=80%, list=24%, signal=105%	
CCNT2.MOD	CCNT2.MOD		89	0.55912405	1.3502964	0.25050506	0.36877656	0.974	4662	tags=62%, list=28%, signal=86%	
AFF1.MOD	AFF1.MOD		91	0.59668976	1.3483793	0.22417583	0.3585821	0.974	5196	tags=73%, list=32%, signal=105%	
SKIL.MOD	SKIL.MOD		50	0.48327687	1.3381531	0.19914347	0.3588929	0.977	5254	tags=60%, list=32%, signal=88%	
PKNOX1.MOD	PKNOX1.MOD		74	0.61649305	1.3143243	0.2494577	0.37495285	0.982	4266	tags=73%, list=26%, signal=98%	
CXCR1.MOD	CXCR1.MOD		95	0.68106925	1.2979774	0.21598272	0.38263944	0.987	3222	tags=75%, list=20%, signal=92%	
CBX3.MOD	CBX3.MOD		94	0.36717048	1.0123205	0.49593496	0.72781533	1.0	5731	tags=50%, list=35%, signal=76%	
RUNX1.MOD	RUNX1.MOD		96	0.29139608	0.9566843	0.48654243	0.7695187	1.0	5144	tags=40%, list=31%, signal=57%	
BCLAF1.MOD	BCLAF1.MOD		85	0.28049177	0.8654536	0.6003937	0.8465479	1.0	5094	tags=41%, list=31%, signal=59%	
ETF1.MOD	ETF1.MOD		86	0.28669068	0.8328252	0.60792077	0.8577138	1.0	5824	tags=49%, list=35%, signal=75%	
SMARCC1.MOD	SMARCC1.MOD		86	0.32881752	0.82462937	0.6409736	0.8426418	1.0	5215	tags=48%, list=32%, signal=69%	
FUS.MOD	FUS.MOD		78	0.30793667	0.7901874	0.6699605	0.8551863	1.0	6713	tags=63%, list=41%, signal=106%	
TAF2.MOD	TAF2.MOD		92	0.34068856	0.75144225	0.68650794	0.8701867	1.0	5862	tags=48%, list=36%, signal=74%	
RREB1.MOD	RREB1.MOD		94	0.23054951	0.6599617	0.75936884	0.9344643	1.0	5381	tags=36%, list=33%, signal=53%	
BTAF1.MOD	BTAF1.MOD		87	0.19887543	0.527534	0.8967495	1.0	1.0	6299	tags=47%, list=38%, signal=76%	
MPO.MOD	MPO.MOD		83	0.19616245	0.4947487	0.88	1.0	1.0	4988	tags=30%, list=30%, signal=43%	
STAT1.MOD	STAT1.MOD		95	0.20892322	0.45124385	0.8947368	1.0	1.0	5194	tags=33%, list=32%, signal=47%	
GZMK.MOD	GZMK.MOD		85	0.14766154	0.43196794	0.98723406	1.0	1.0	4218	tags=26%, list=26%, signal=35%	
IKZF1.MOD	IKZF1.MOD		93	0.18274036	0.4284893	0.9268293	1.0	1.0	5237	tags=35%, list=32%, signal=52%	
IRF7.MOD	IRF7.MOD		94	0.17286934	0.37379083	0.91343963	1.0	1.0	5194	tags=30%, list=32%, signal=43%	
RBL2.MOD	RBL2.MOD		87	0.14178288	0.36895338	0.9815195	1.0	1.0	4655	tags=29%, list=28%, signal=40%	
PNN.MOD	PNN.MOD		84	0.13756327	0.3521618	0.98039216	0.9869568	1.0	6299	tags=44%, list=38%, signal=71%	
STAT2.MOD	STAT2.MOD		93	0.10473384	0.22716257	0.99086756	0.99690527	1.0	4946	tags=24%, list=30%, signal=34%	
